,text,level,node,lemmas,pos,stops
10,"Each returning officer shall, in accordance with directions issued by the Chief Electoral Officer, appoint sufficient enumerators for the efficient conduct of the enumeration within the returning officer’s electoral division.",7,Alberta_Election_Act--Election_Lists--2--None--3--Appointment_of_enumerators--23,"['each', 'return', 'officer', 'shall', ',', 'in', 'accordance', 'with', 'direction', 'issue', 'by', 'the', 'Chief', 'Electoral', 'Officer', ',', 'appoint', 'sufficient', 'enumerator', 'for', 'the', 'efficient', 'conduct', 'of', 'the', 'enumeration', 'within', 'the', 'return', 'officer', '’s', 'electoral', 'division', '.']","['DET', 'VERB', 'NOUN', 'AUX', 'PUNCT', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'VERB', 'NOUN', 'PART', 'ADJ', 'NOUN', 'PUNCT']","[True, False, False, False, False, True, False, True, False, False, True, True, False, False, False, False, False, False, False, True, True, False, False, True, True, False, True, True, False, False, True, False, False, False]"
11,Time for voting,6,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Time_for_voting","['time', 'for', 'vote']","['NOUN', 'ADP', 'VERB']","[False, True, False]"
12,A candidate who files a disclaimer pursuant to subsection (1) shall deliver a copy of it forthwith to the returning officer and to the Clerk of the Legislative Assembly.,8,Alberta_Election_Act--Post‑Polling‑Day_Procedures--4--None--0--Disclaimer--139--2,"['a', 'candidate', 'who', 'file', 'a', 'disclaimer', 'pursuant', 'to', 'subsection', '(', '1', ')', 'shall', 'deliver', 'a', 'copy', 'of', 'it', 'forthwith', 'to', 'the', 'return', 'officer', 'and', 'to', 'the', 'Clerk', 'of', 'the', 'Legislative', 'Assembly', '.']","['DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'PRON', 'ADV', 'ADP', 'DET', 'VERB', 'NOUN', 'CCONJ', 'ADP', 'DET', 'PROPN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT']","[True, False, True, False, True, False, False, True, False, False, False, False, False, False, True, False, True, True, False, True, True, False, False, True, True, True, False, True, True, False, False, False]"
13,obtain an order from the Court.,9,Alberta_Election_Act--Appointments--1--None--0--Inquiries--4.2--2.1--b,"['obtain', 'an', 'order', 'from', 'the', 'Court', '.']","['VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PUNCT']","[False, True, False, True, True, False, False]"
14,The nomination paper referred to in subsection (1) must be filed with the returning officer for the electoral division for which the person is being nominated at any time prior to 2 p.m. on the date appointed as nomination day.,8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Nomination_of_candidates--59--1.1","['the', 'nomination', 'paper', 'refer', 'to', 'in', 'subsection', '(', '1', ')', 'must', 'be', 'file', 'with', 'the', 'return', 'officer', 'for', 'the', 'electoral', 'division', 'for', 'which', 'the', 'person', 'be', 'be', 'nominate', 'at', 'any', 'time', 'prior', 'to', '2', 'p.m.', 'on', 'the', 'date', 'appoint', 'as', 'nomination', 'day', '.']","['DET', 'NOUN', 'NOUN', 'VERB', 'ADP', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'AUX', 'AUX', 'VERB', 'ADP', 'DET', 'VERB', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'PRON', 'DET', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADV', 'ADP', 'NUM', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'NOUN', 'PUNCT']","[True, False, False, False, True, True, False, False, False, False, True, True, False, True, True, False, False, True, True, False, False, True, True, True, False, True, True, False, True, True, False, False, True, False, False, True, True, False, False, True, False, False, False]"
15,"initials, or",10,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Contents_of_ballots--83--3--a--ii","['initial', ',', 'or']","['NOUN', 'PUNCT', 'CCONJ']","[False, False, True]"
16,that the petitioner is not qualified to file a petition;,9,Alberta_Election_Act--Controverted_Elections--7--None--0--Application_to_set_aside_petition--190--0--a,"['that', 'the', 'petitioner', 'be', 'not', 'qualified', 'to', 'file', 'a', 'petition', ';']","['SCONJ', 'DET', 'NOUN', 'AUX', 'PART', 'ADJ', 'PART', 'VERB', 'DET', 'NOUN', 'PUNCT']","[True, True, False, True, True, False, True, False, True, False, False]"
17,"is the subject of the investigation, or",11,Alberta_Election_Act--Investigations--4.1--None--2--Notice_of_investigation_and_conclusion--153.091--4--a--i--A,"['be', 'the', 'subject', 'of', 'the', 'investigation', ',', 'or']","['AUX', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ']","[True, True, False, True, True, False, False, True]"
18,conclude at 4 p.m. on the Saturday of the week preceding the opening of the advance polls.,9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Revision_of_polling_subdivision_lists--50--2--c","['conclude', 'at', '4', 'p.m.', 'on', 'the', 'Saturday', 'of', 'the', 'week', 'precede', 'the', 'opening', 'of', 'the', 'advance', 'poll', '.']","['VERB', 'ADP', 'NUM', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']","[False, True, False, False, True, True, False, True, True, False, False, True, False, True, True, False, False, False]"
19,"to receive from the Chief Electoral Officer of Canada information that will assist the Chief Electoral Officer of Alberta in revising the register, and",9,Alberta_Election_Act--Election_Lists--2--None--1--Agreements_on_information--13.2--1--a,"['to', 'receive', 'from', 'the', 'Chief', 'Electoral', 'Officer', 'of', 'Canada', 'information', 'that', 'will', 'assist', 'the', 'Chief', 'Electoral', 'Officer', 'of', 'Alberta', 'in', 'revise', 'the', 'register', ',', 'and']","['PART', 'VERB', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'NOUN', 'PRON', 'AUX', 'VERB', 'DET', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'PUNCT', 'CCONJ']","[True, False, True, True, False, False, False, True, False, False, True, True, False, True, False, False, False, True, False, True, False, True, False, False, True]"
20,"If a judge orders a stay of proceedings under subsection (2), the judge may do so on any terms the judge thinks just, and the judge may in making the order, or afterwards by separate order, fix the time for doing any act required or authorized by this Part to be done, the time for doing which has been fixed without reference to an appeal, and the judge or any other judge may for reasonable cause at any time set aside or modify any stay of proceedings that has been ordered under this section.",8,Alberta_Election_Act--Controverted_Elections--7--None--0--Appeals--199--3,"['if', 'a', 'judge', 'order', 'a', 'stay', 'of', 'proceeding', 'under', 'subsection', '(', '2', ')', ',', 'the', 'judge', 'may', 'do', 'so', 'on', 'any', 'term', 'the', 'judge', 'think', 'just', ',', 'and', 'the', 'judge', 'may', 'in', 'make', 'the', 'order', ',', 'or', 'afterwards', 'by', 'separate', 'order', ',', 'fix', 'the', 'time', 'for', 'do', 'any', 'act', 'require', 'or', 'authorize', 'by', 'this', 'Part', 'to', 'be', 'do', ',', 'the', 'time', 'for', 'do', 'which', 'have', 'be', 'fix', 'without', 'reference', 'to', 'an', 'appeal', ',', 'and', 'the', 'judge', 'or', 'any', 'other', 'judge', 'may', 'for', 'reasonable', 'cause', 'at', 'any', 'time', 'set', 'aside', 'or', 'modify', 'any', 'stay', 'of', 'proceeding', 'that', 'have', 'be', 'order', 'under', 'this', 'section', '.']","['SCONJ', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'DET', 'NOUN', 'AUX', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'VERB', 'ADV', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'AUX', 'ADP', 'VERB', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'VERB', 'CCONJ', 'VERB', 'ADP', 'DET', 'PROPN', 'PART', 'AUX', 'VERB', 'PUNCT', 'DET', 'NOUN', 'ADP', 'VERB', 'PRON', 'AUX', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'AUX', 'ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADV', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PRON', 'AUX', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","[True, True, False, False, True, False, True, False, True, False, False, False, False, False, True, False, True, True, True, True, True, False, True, False, False, True, False, True, True, False, True, True, False, True, False, False, True, True, True, False, False, False, False, True, False, True, True, True, False, False, True, False, True, True, True, True, True, True, False, True, False, True, True, True, True, True, False, True, False, True, True, False, False, True, True, False, True, True, True, False, True, True, False, False, True, True, False, False, False, True, False, True, False, True, False, True, True, True, False, True, True, False, False]"
21,"one copy of the proclamation,",10,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Material_to_be_provided_to_candidate--63--0--a--i","['one', 'copy', 'of', 'the', 'proclamation', ',']","['NUM', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[True, False, True, True, False, False]"
22,"On receipt of an order under section 39, the Chief Electoral Officer shall",8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Issue_of_writ_of_election--40--1","['on', 'receipt', 'of', 'an', 'order', 'under', 'section', '39', ',', 'the', 'Chief', 'Electoral', 'Officer', 'shall']","['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NUM', 'PUNCT', 'DET', 'PROPN', 'PROPN', 'PROPN', 'AUX']","[True, False, True, True, False, True, False, False, False, True, False, False, False, False]"
23,Prohibition against nomination,6,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Prohibition_against_nomination","['prohibition', 'against', 'nomination']","['NOUN', 'ADP', 'NOUN']","[False, True, False]"
24,"heating, lighting and cleaning the premises rented;",10,Alberta_Election_Act--Corrupt_Practices--6--None--0--Payments_not_constituting_corrupt_practice--182--1--a--ii,"['heating', ',', 'lighting', 'and', 'clean', 'the', 'premise', 'rent', ';']","['NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'VERB', 'PUNCT']","[False, False, False, True, False, True, False, False, False]"
25,The Chief Electoral Officer may issue a directive in accordance with section 4.11 authorizing the use of accessible voting equipment during an election.,8,Alberta_Election_Act--Appointments--1--None--0--Accessible_voting_equipment--4.12--1,"['the', 'Chief', 'Electoral', 'Officer', 'may', 'issue', 'a', 'directive', 'in', 'accordance', 'with', 'section', '4.11', 'authorize', 'the', 'use', 'of', 'accessible', 'voting', 'equipment', 'during', 'an', 'election', '.']","['DET', 'PROPN', 'PROPN', 'PROPN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NUM', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[True, False, False, False, True, False, True, False, True, False, True, False, False, False, True, False, True, False, False, False, True, True, False, False]"
26,An elector may instead prove his or her identity and residence by signing a declaration if he or she is accompanied by an elector whose name appears on the list of electors for the same polling subdivision and that elector,8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Declaration_procedure--95--2","['an', 'elector', 'may', 'instead', 'prove', 'his', 'or', 'her', 'identity', 'and', 'residence', 'by', 'sign', 'a', 'declaration', 'if', 'he', 'or', 'she', 'be', 'accompany', 'by', 'an', 'elector', 'whose', 'name', 'appear', 'on', 'the', 'list', 'of', 'elector', 'for', 'the', 'same', 'polling', 'subdivision', 'and', 'that', 'elector']","['DET', 'NOUN', 'AUX', 'ADV', 'VERB', 'PRON', 'CCONJ', 'PRON', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'SCONJ', 'PRON', 'CCONJ', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'CCONJ', 'DET', 'NOUN']","[True, False, True, False, False, True, True, True, False, True, False, True, False, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, False, True, True, True, False, False, True, True, False]"
27,"Each returning officer shall, before assuming the returning officer’s duties, take the prescribed oath of office and transmit it to the Chief Electoral Officer.",8,Alberta_Election_Act--Appointments--1--None--0--Appointment_of_returning_officers--9--5,"['each', 'return', 'officer', 'shall', ',', 'before', 'assume', 'the', 'return', 'officer', '’s', 'duty', ',', 'take', 'the', 'prescribed', 'oath', 'of', 'office', 'and', 'transmit', 'it', 'to', 'the', 'Chief', 'Electoral', 'Officer', '.']","['DET', 'VERB', 'NOUN', 'AUX', 'PUNCT', 'ADP', 'VERB', 'DET', 'VERB', 'NOUN', 'PART', 'NOUN', 'PUNCT', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'PRON', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","[True, False, False, False, False, True, False, True, False, False, True, False, False, True, True, False, False, True, False, True, False, True, True, True, False, False, False, False]"
28,"if the returning officer, election clerk or person designated by the Chief Electoral Officer is not satisfied as to the voter’s eligibility to vote,",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Voting_by_Special_Ballot--118--5--b","['if', 'the', 'return', 'officer', ',', 'election', 'clerk', 'or', 'person', 'designate', 'by', 'the', 'Chief', 'Electoral', 'Officer', 'be', 'not', 'satisfied', 'as', 'to', 'the', 'voter', '’s', 'eligibility', 'to', 'vote', ',']","['SCONJ', 'DET', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'AUX', 'PART', 'ADJ', 'ADP', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'PART', 'VERB', 'PUNCT']","[True, True, False, False, False, False, False, True, False, False, True, True, False, False, False, True, True, False, True, True, True, False, True, False, True, False, False]"
29,"because it relates to important matters of public health or safety,",10,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Restrictions_on_government_advertising--134.1--3--b--ii","['because', 'it', 'relate', 'to', 'important', 'matter', 'of', 'public', 'health', 'or', 'safety', ',']","['SCONJ', 'PRON', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']","[True, True, False, True, False, False, True, False, False, True, False, False]"
30,nominations of candidates previously filed remain valid for the new election.,9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Death_of_candidate--66--1--c","['nomination', 'of', 'candidate', 'previously', 'file', 'remain', 'valid', 'for', 'the', 'new', 'election', '.']","['NOUN', 'ADP', 'NOUN', 'ADV', 'VERB', 'VERB', 'ADJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']","[False, True, False, False, False, False, False, True, True, False, False, False]"
31,"A person who, because an elector has voted or is about to vote, or for the purpose of influencing an elector to vote for or against a particular candidate or registered political party, causes or permits any",8,Alberta_Election_Act--Administrative_Penalties_and_Offences--5--None--0--Entertaining--162--1,"['a', 'person', 'who', ',', 'because', 'an', 'elector', 'have', 'vote', 'or', 'be', 'about', 'to', 'vote', ',', 'or', 'for', 'the', 'purpose', 'of', 'influence', 'an', 'elector', 'to', 'vote', 'for', 'or', 'against', 'a', 'particular', 'candidate', 'or', 'register', 'political', 'party', ',', 'cause', 'or', 'permit', 'any']","['DET', 'NOUN', 'PRON', 'PUNCT', 'SCONJ', 'DET', 'NOUN', 'AUX', 'VERB', 'CCONJ', 'AUX', 'ADJ', 'PART', 'VERB', 'PUNCT', 'CCONJ', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'PART', 'VERB', 'ADP', 'CCONJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'CCONJ', 'VERB', 'PRON']","[True, False, True, False, True, True, False, True, False, True, True, True, True, False, False, True, True, True, False, True, False, True, False, True, False, True, True, True, True, False, False, True, False, False, False, False, False, True, False, True]"
32,"the date and time for announcing the results of the official count, that date being the 10th day after polling day, and",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Publication_of_election_proclamation--55--1--e","['the', 'date', 'and', 'time', 'for', 'announce', 'the', 'result', 'of', 'the', 'official', 'count', ',', 'that', 'date', 'be', 'the', '10th', 'day', 'after', 'polling', 'day', ',', 'and']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ']","[True, False, True, False, True, False, True, False, True, True, False, False, False, True, False, True, True, False, False, True, False, False, False, True]"
33,Oath of office,6,Alberta_Election_Act--Election_Lists--2--None--3--Oath_of_office,"['Oath', 'of', 'office']","['PROPN', 'ADP', 'NOUN']","[False, True, False]"
34,"Prior to the date determined by the Chief Electoral Officer, a form left under subsection (8) may be returned as stated in the form.",8,Alberta_Election_Act--Election_Lists--2--None--3--Conducting_an_enumeration--30--9,"['prior', 'to', 'the', 'date', 'determine', 'by', 'the', 'Chief', 'Electoral', 'Officer', ',', 'a', 'form', 'leave', 'under', 'subsection', '(', '8)', 'may', 'be', 'return', 'as', 'state', 'in', 'the', 'form', '.']","['ADV', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'AUX', 'AUX', 'VERB', 'SCONJ', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","[False, True, True, False, False, True, True, False, False, False, False, True, False, False, True, False, False, False, True, True, False, True, False, True, True, False, False]"
35,"provides to the registration officer or deputy returning officer the piece or pieces of identification referred to in subsection (1)(a), and",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Declaration_procedure--95--2--a","['provide', 'to', 'the', 'registration', 'officer', 'or', 'deputy', 'return', 'officer', 'the', 'piece', 'or', 'piece', 'of', 'identification', 'refer', 'to', 'in', 'subsection', '(', '1)(a', ')', ',', 'and']","['VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'NOUN', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'CCONJ']","[False, True, True, False, False, True, False, False, False, True, False, True, False, True, False, False, True, True, False, False, False, False, False, True]"
